symbol,theme,semantic_bucket,mentions
NVDA,AI,product_technology,145
AAPL,AI,product_technology,26
NVDA,SupplyChain,supply,22
AAPL,Margin,margin_cost,20
AAPL,Pricing,pricing,20
NVDA,AI,demand,16
AAPL,SupplyChain,supply,12
AAPL,Margin,pricing,11
NVDA,SupplyChain,demand,9
AAPL,SupplyChain,demand,8
AAPL,Guidance,margin_cost,7
AAPL,AI,demand,6
NVDA,AI,supply,6
AAPL,Guidance,pricing,4
NVDA,Guidance,supply,4
NVDA,SupplyChain,product_technology,4
NVDA,Pricing,pricing,4
AAPL,AI,competition,3
AAPL,Guidance,demand,3
AAPL,Guidance,supply,3
AAPL,Competition,competition,3
NVDA,AI,general,3
AAPL,Margin,supply,2
AAPL,Pricing,competition,2
AAPL,Pricing,margin_cost,2
AAPL,Margin,demand,2
AAPL,Guidance,product_technology,2
NVDA,Margin,product_technology,2
NVDA,Guidance,regulation_macro,2
NVDA,AI,margin_cost,2
NVDA,Guidance,demand,2
NVDA,Pricing,margin_cost,2
NVDA,Competition,demand,2
AAPL,Margin,competition,1
AAPL,Guidance,competition,1
AAPL,SupplyChain,general,1
AAPL,Competition,demand,1
AAPL,Competition,product_technology,1
AAPL,Competition,supply,1
AAPL,AI,general,1
AAPL,AI,supply,1
AAPL,AI,margin_cost,1
AAPL,Guidance,regulation_macro,1
AAPL,Guidance,general,1
AAPL,Pricing,demand,1
AAPL,Pricing,supply,1
AAPL,Competition,margin_cost,1
NVDA,Guidance,general,1
NVDA,Guidance,margin_cost,1
NVDA,Pricing,demand,1
NVDA,Pricing,product_technology,1
NVDA,Margin,margin_cost,1
NVDA,Guidance,pricing,1
