symbol,period,date,theme,mentions,mentions_per_1k_words,opportunity_mentions,risk_mentions,neutral_mentions,management_active_mentions,analyst_prompted_mentions,management_response_mentions,top_semantic_bucket
NVDA,FY2026 Q4,2026-02-25,SupplyChain,13,1.468,10,0,3,13,0,0,supply
NVDA,FY2026 Q3,2025-11-19,SupplyChain,22,2.47,7,0,15,0,2,20,supply
NVDA,FY2026 Q4,2026-02-25,Pricing,4,0.452,2,0,2,4,0,0,pricing
NVDA,FY2026 Q3,2025-11-19,Pricing,4,0.449,2,0,2,0,2,2,pricing
NVDA,FY2026 Q4,2026-02-25,Margin,2,0.226,0,0,2,2,0,0,product_technology
NVDA,FY2026 Q3,2025-11-19,Margin,1,0.112,0,0,1,0,0,1,margin_cost
NVDA,FY2026 Q4,2026-02-25,Guidance,5,0.565,4,0,1,5,0,0,supply
NVDA,FY2026 Q3,2025-11-19,Guidance,6,0.674,6,0,0,0,1,5,supply
NVDA,FY2026 Q4,2026-02-25,Competition,0,0.0,0,0,0,0,0,0,general
NVDA,FY2026 Q3,2025-11-19,Competition,2,0.225,0,0,2,0,0,2,demand
NVDA,FY2026 Q4,2026-02-25,AI,78,8.811,43,0,35,78,0,0,product_technology
NVDA,FY2026 Q3,2025-11-19,AI,94,10.555,40,0,54,0,16,78,product_technology
AAPL,FY2026 Q2,2026-04-30,SupplyChain,11,1.23,3,0,8,11,0,0,supply
AAPL,FY2026 Q1,2026-01-29,SupplyChain,10,1.193,6,1,3,10,0,0,demand
AAPL,FY2026 Q2,2026-04-30,Pricing,7,0.783,1,1,5,7,0,0,pricing
AAPL,FY2026 Q1,2026-01-29,Pricing,19,2.266,7,2,10,19,0,0,pricing
AAPL,FY2026 Q2,2026-04-30,Margin,20,2.236,4,5,11,20,0,0,margin_cost
AAPL,FY2026 Q1,2026-01-29,Margin,16,1.908,4,0,12,16,0,0,margin_cost
AAPL,FY2026 Q2,2026-04-30,Guidance,10,1.118,5,2,3,10,0,0,margin_cost
AAPL,FY2026 Q1,2026-01-29,Guidance,12,1.431,4,3,5,12,0,0,pricing
AAPL,FY2026 Q2,2026-04-30,Competition,4,0.447,2,0,2,4,0,0,demand
AAPL,FY2026 Q1,2026-01-29,Competition,3,0.358,0,2,1,3,0,0,competition
AAPL,FY2026 Q2,2026-04-30,AI,17,1.901,3,0,14,17,0,0,product_technology
AAPL,FY2026 Q1,2026-01-29,AI,21,2.505,6,0,15,21,0,0,product_technology
